step	loss
0	0.23017077147960663
1	0.05088441073894501
2	0.04193251207470894
3	0.035962238907814026
4	0.032451726496219635
5	0.030209271237254143
6	0.027983874082565308
7	0.02598709799349308
8	0.02438979037106037
