step	dice_multi
0	0.4953695199018794
1	0.4953695199018794
2	0.8458913819212883
3	0.8979479571198477
4	0.8974319184766009
5	0.9006909782082837
6	0.9105362232221714
7	0.9208704524483
8	0.9196340105383372
